X,Y,Z
-0.547098880084469,0.4160316222100804,0.30459608502252666
-0.5706747956349066,0.38305310458333325,0.30455825969480327
-0.5919496915978949,0.34928457573231064,0.30451024866614496
-0.6067912617261122,0.3232300054483746,0.3043799107628471
-0.6209176364113221,0.2953148433427746,0.3043083651107906
-0.6338852176905254,0.26650768815399595,0.30424226353373784
-0.6445368707458493,0.2397640228888699,0.30416834062452147
-0.6543682575223971,0.21157549549722016,0.3041184481263976
-0.6630324755273878,0.1828573534127,0.30404804507752037
-0.6704968620646835,0.15358181218396588,0.3040216828218431
-0.6767624630773482,0.12329432109591155,0.30395694462307943
-0.6846259554978675,0.06838360088090543,0.30384669729845193
-0.673899623521459,0.021181150039523772,0.37584412838464737
-0.6340614353321161,0.011100762154660316,0.43281045786075734
-0.5889415373385244,0.07075468736599251,0.4115467096100598
-0.5381265439661755,0.11793525972124529,0.39305205368734214
-0.481876221216266,0.15783483325419953,0.3719947018574421
-0.4498987594791622,0.1757827908792601,0.35984058056115764
-0.4576175897391796,0.16727701842081458,0.3597444052845453
-0.4775530228472143,0.14399325023109064,0.3589210786231672
-0.4943846073426919,0.1218170595719681,0.35799133390943944
-0.5100891333324544,0.09848261794812059,0.35674241701764137
-0.5239748851823878,0.07512900707073135,0.35536909306856657
-0.5368897556824163,0.05045624151726874,0.3537270696846212
-0.548662162060682,0.024439903490622316,0.35161202098761507
-0.5600490760190169,-0.004372079987186403,0.34923080705074233
-0.5717168534390291,-0.041423192450544766,0.34579144619147484
-0.5357101079536044,-0.04458752157190089,0.3737215751269773
-0.4891100114208772,-0.04536058320926271,0.4023920269641226
-0.44131505308035524,-0.04231255914772159,0.4244068657841232
-0.393895816356192,-0.0356952716256564,0.43951521073767186
-0.34755834912716826,-0.025989952675856028,0.4478794100124509
-0.3031911107908278,-0.013531873622032897,0.4497332552024745
-0.2689807971530341,-0.0018931710523308613,0.4466172880874101
-0.27462469589519933,-0.006686893860408837,0.4484778524962411
-0.2927926341549846,-0.02221489307343314,0.45322211448004374
-0.307776026250446,-0.035504893900748916,0.45614632926792875
-0.32097569816356925,-0.04778678830479487,0.4580666185313599
-0.33595476275596436,-0.0621121901669046,0.4593229688839388
-0.3490116962434988,-0.07515015520727142,0.45968786961643576
-0.3619468724256946,-0.08853859026224155,0.4592445891488354
-0.37580493864238596,-0.10349604444601904,0.4580724936731683
-0.3887309106316076,-0.11799617971469095,0.4561843813119587
-0.40204243340574924,-0.1335727185118992,0.4533813950382507
-0.4142617937356219,-0.14834629232501526,0.4499007580066614
-0.42659704576291757,-0.16397173960913156,0.4455369277567184
-0.4390433647453887,-0.18046914262203032,0.4401244618717297
-0.45152047340269325,-0.197748352431155,0.43369212545580077
-0.46280236777545747,-0.21418936281377032,0.42683905378037534
-0.47403199482694275,-0.23125754383800376,0.41886954631437645
-0.48410808480152834,-0.2474240862733167,0.410663661583919
-0.4946243972541268,-0.26525646448451107,0.4007793537702209
-0.5039340507913866,-0.2819731770731961,0.3907439616656658
-0.5127736880058579,-0.29874199324289696,0.37997897636266786
-0.5210895622525227,-0.31554703553028607,0.3684484891611542
-0.5288074547411225,-0.33230413510163936,0.3562392873701779
-0.5360537354470646,-0.3491686251872977,0.34302191823129274
-0.5433942804309029,-0.36774353446336006,0.3276942297230418
-0.5508546202611462,-0.38861529615167223,0.30889530170272095
